"SpeciesID"	"SpecCode"	"Species"	"Genus"	"AphiaID"	"Class"	"Order"	"Family"	"Fresh"	"Brack"	"Saltwater"	"DemersPelag"	"AnaCat"
"116"	"Fis-27755"	10305	"Cyclichthys spilostylus"	"Cyclichthys"	"219967"	"Actinopterygii"	"Tetraodontiformes"	"Diodontidae"	0	0	1	"reef-associated"	NA
"117"	"Fis-131124"	10307	"Cheilopogon agoo"	"Cheilopogon"	"272149"	"Actinopterygii"	"Beloniformes"	"Exocoetidae"	0	0	1	"pelagic-neritic"	NA
"118"	"Fis-27758"	10308	"Patagonotothen ramsayi"	"Patagonotothen"	"234633"	"Actinopterygii"	"Perciformes"	"Nototheniidae"	0	0	1	"benthopelagic"	NA
"119"	"Fis-21571"	10309	"Grammoplites scaber"	"Grammoplites"	"278548"	"Actinopterygii"	"Scorpaeniformes"	"Platycephalidae"	0	1	1	"demersal"	"amphidromous"
"120"	"Fis-30017"	1031	"Exocoetus obtusirostris"	"Exocoetus"	"126384"	"Actinopterygii"	"Beloniformes"	"Exocoetidae"	0	0	1	"pelagic-neritic"	"oceanodromous"
"121"	"Fis-27759"	10310	"Sorsogona tuberculata"	"Sorsogona"	"278240"	"Actinopterygii"	"Scorpaeniformes"	"Platycephalidae"	0	0	1	"demersal"	"amphidromous"
"122"	"Fis-33864"	10316	"Minous pictus"	"Minous"	"277743"	"Actinopterygii"	"Scorpaeniformes"	"Synanceiidae"	0	0	1	"demersal"	NA
"123"	"Fis-27763"	10317	"Apistops caloundra"	"Apistops"	"279643"	"Actinopterygii"	"Scorpaeniformes"	"Apistidae"	0	0	1	"demersal"	NA
"124"	"Fis-30018"	1032	"Exocoetus volitans"	"Exocoetus"	"126385"	"Actinopterygii"	"Beloniformes"	"Exocoetidae"	0	0	1	"pelagic-neritic"	"oceanodromous"
"125"	"Fis-33869"	10328	"Synodus tectus"	"Synodus"	"272143"	"Actinopterygii"	"Aulopiformes"	"Synodontidae"	0	0	1	"demersal"	NA
"126"	"Fis-50817"	1033	"Fodiator acutus"	"Fodiator"	"280791"	"Actinopterygii"	"Beloniformes"	"Exocoetidae"	0	1	1	"pelagic-oceanic"	"oceanodromous"
"127"	"Fis-27771"	10330	"Lophiocharon trisignatus"	"Lophiocharon"	"281393"	"Actinopterygii"	"Lophiiformes"	"Antennariidae"	0	0	1	"reef-associated"	"non-migratory"
"128"	"Fis-27772"	10331	"Halieutaea stellata"	"Halieutaea"	"220344"	"Actinopterygii"	"Lophiiformes"	"Ogcocephalidae"	0	0	1	"demersal"	NA
"129"	"Fis-33870"	10332	"Halieutaea indica"	"Halieutaea"	"279063"	"Actinopterygii"	"Lophiiformes"	"Ogcocephalidae"	0	0	1	"demersal"	NA
"130"	"Fis-144483"	10333	"Manducus greyae"	"Manducus"	"281517"	"Actinopterygii"	"Stomiiformes"	"Gonostomatidae"	0	0	1	"pelagic-oceanic"	NA
"131"	"Fis-27773"	10334	"Cyttopsis cypho"	"Cyttopsis"	"275301"	"Actinopterygii"	"Zeiformes"	"Parazenidae"	0	0	1	"benthopelagic"	NA
"132"	"Fis-164002"	10335	"Inegocia japonica"	"Inegocia"	"281179"	"Actinopterygii"	"Scorpaeniformes"	"Platycephalidae"	0	0	1	"demersal"	"non-migratory"
"133"	"Fis-27774"	10336	"Suggrundus macracanthus"	"Suggrundus"	"277604"	"Actinopterygii"	"Scorpaeniformes"	"Platycephalidae"	0	0	1	"demersal"	"non-migratory"
"134"	"Fis-27777"	10339	"Centrogenys vaigiensis"	"Centrogenys"	"280055"	"Actinopterygii"	"Perciformes"	"Centrogenyidae"	0	1	1	"benthopelagic"	"non-migratory"
"135"	"Fis-23549"	1034	"Hirundichthys oxycephalus"	"Hirundichthys"	"272171"	"Actinopterygii"	"Beloniformes"	"Exocoetidae"	0	0	1	"pelagic-neritic"	"oceanodromous"
"136"	"Fis-167079"	10343	"Ostorhinchus septemstriatus"	"Ostorhinchus"	"713308"	"Actinopterygii"	"Perciformes"	"Apogonidae"	0	0	1	"reef-associated"	NA
"137"	"Fis-161065"	10344	"Eubleekeria rapsoni"	"Eubleekeria"	"398526"	"Actinopterygii"	"Perciformes"	"Leiognathidae"	0	0	1	"pelagic-neritic"	NA
"138"	"Fis-33878"	10346	"Diagramma punctatum"	"Diagramma"	"279263"	"Actinopterygii"	"Perciformes"	"Haemulidae"	0	0	1	"benthopelagic"	NA
"139"	"Fis-27779"	10348	"Johnius macropterus"	"Johnius"	"276116"	"Actinopterygii"	"Perciformes"	"Sciaenidae"	0	0	1	"demersal"	NA
"140"	"Fis-23550"	1035	"Hirundichthys rondeletii"	"Hirundichthys"	"126386"	"Actinopterygii"	"Beloniformes"	"Exocoetidae"	0	0	1	"pelagic-oceanic"	"oceanodromous"
"141"	"Fis-33880"	10350	"Pempheris vanicolensis"	"Pempheris"	"218701"	"Actinopterygii"	"Perciformes"	"Pempheridae"	0	0	1	"reef-associated"	NA
"142"	"Fis-33881"	10352	"Chaetodon decussatus"	"Chaetodon"	"273333"	"Actinopterygii"	"Perciformes"	"Chaetodontidae"	0	0	1	"reef-associated"	NA
"143"	"Fis-33882"	10353	"Gobiomorphus cotidianus"	"Gobiomorphus"	"280892"	"Actinopterygii"	"Perciformes"	"Eleotridae"	1	1	1	"demersal"	"amphidromous"
"144"	"Fis-27781"	10354	"Acanthocepola abbreviata"	"Acanthocepola"	"278762"	"Actinopterygii"	"Perciformes"	"Cepolidae"	0	0	1	"benthopelagic"	NA
"145"	"Fis-33883"	10356	"Opistognathus castelnaui"	"Opistognathus"	"276444"	"Actinopterygii"	"Perciformes"	"Opistognathidae"	0	0	1	"demersal"	NA
"146"	"Fis-115746"	10357	"Champsodon nudivittis"	"Champsodon"	"220338"	"Actinopterygii"	"Perciformes"	"Champsodontidae"	0	0	1	"pelagic-oceanic"	NA
"147"	"Fis-23551"	1036	"Hirundichthys speculiger"	"Hirundichthys"	"126387"	"Actinopterygii"	"Beloniformes"	"Exocoetidae"	0	0	1	"pelagic-oceanic"	"oceanodromous"
"148"	"Fis-33887"	10360	"Scombrops boops"	"Scombrops"	"220088"	"Actinopterygii"	"Perciformes"	"Scombropidae"	0	0	1	"benthopelagic"	NA
